Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
Z49970450,Corporation,UNP,UNION PAC CORP COM,10,$241.86,-$1.99,$2418.60,-$19.90,-0.82%,+$516.80,+27.17%,1.23%,$1901.80,$190.18,Cash
Z49970450,Corporation,MRNA,MODERNA INC COM,25,$107.80,-$2.58,$2695.00,-$64.50,-2.34%,+$563.68,+26.44%,1.37%,$2131.32,$85.25,Cash
Z49970450,Corporation,FDX,FEDEX CORP COM USD0.10,4,$289.52,+$6.95,$1158.08,+$27.80,+2.45%,+$240.79,+26.25%,0.59%,$917.29,$229.32,Cash
Z49970450,Corporation,ICE,INTERCONTINENTAL EXCHANGE INC COM USD0.01,10,$137.38,+$1.57,$1373.80,+$15.70,+1.15%,+$283.00,+25.94%,0.70%,$1090.80,$109.08,Cash
Z49970450,Corporation,SPGI,S&P GLOBAL INC COM,5,$420.67,+$2.19,$2103.35,+$10.95,+0.52%,+$337.94,+19.14%,1.07%,$1765.41,$353.08,Cash
Z49970450,Corporation,CVX,CHEVRON CORP NEW COM,15,$155.35,-$1.12,$2330.25,-$16.80,-0.72%,+$366.50,+18.66%,1.19%,$1963.75,$130.92,Cash
Z49970450,Corporation,GOOG,ALPHABET INC CAP STK CL C,15,$152.82,+$1.67,$2292.30,+$25.05,+1.10%,+$340.90,+17.46%,1.17%,$1951.40,$130.09,Cash
Z49970450,Corporation,NVO,NOVO NORDISK A/S ADR-EACH CNV INTO 1 CLASS B DKK1,10,$129.12,+$0.07,$1291.20,+$0.70,+0.05%,+$164.10,+14.55%,0.66%,$1127.10,$112.71,Cash
Z49970450,Corporation,SCHW,SCHWAB CHARLES CORP COM,60,$71.38,+$0.05,$4282.80,+$3.00,+0.07%,+$390.70,+10.03%,2.18%,$3892.10,$64.87,Cash
Z49970450,Corporation,BLK,BLACKROCK INC COM USD0.01,5,$821.21,+$5.00,$4106.05,+$25.00,+0.61%,+$356.05,+9.49%,2.09%,$3750.00,$750.00,Cash
Z49970450,Corporation,ADBE,ADOBE INC COM,5,$511.32,+$4.09,$2556.60,+$20.45,+0.80%,+$202.81,+8.61%,1.30%,$2353.79,$470.76,Cash
Z49970450,Corporation,JNJ,JOHNSON &JOHNSON COM USD1.00,35,$155.82,+$0.60,$5453.70,+$21.00,+0.38%,+$366.10,+7.19%,2.77%,$5087.60,$145.36,Cash
Z49970450,Corporation,LMT,LOCKHEED MARTIN CORP COM USD1.00,10,$447.02,+$0.71,$4470.20,+$7.10,+0.15%,+$210.77,+4.94%,2.27%,$4259.43,$425.94,Cash
Z49970450,Corporation,UNH,UNITEDHEALTH GROUP INC,5,$491.11,+$5.23,$2455.55,+$26.15,+1.07%,+$55.55,+2.31%,1.25%,$2400.00,$480.00,Cash
Z49970450,Corporation,AMKR,AMKOR TECHNOLOGY INC,100,$31.80,-$0.07,$3180.00,-$7.00,-0.22%,+$25.00,+0.79%,1.62%,$3155.00,$31.55,Cash
Z49970450,Corporation,DE,DEERE & CO,5,$398.34,+$0.31,$1991.70,+$1.55,+0.07%,+$1.70,+0.08%,1.01%,$1990.00,$398.00,Cash
Z49970450,Corporation,BMY,BRISTOL-MYERS SQUIBB CO COM,50,$52.43,+$0.18,$2621.50,+$9.00,+0.34%,-$59.29,-2.22%,1.33%,$2680.79,$53.62,Cash
Z49970450,Corporation,OXY,OCCIDENTAL PETE CORP COM,30,$63.805,-$0.745,$1914.15,-$22.35,-1.16%,-$217.05,-10.19%,0.97%,$2131.20,$71.04,Cash
Z49970450,Corporation,BIIB,BIOGEN INC COM USD0.0005,15,$213.185,-$3.505,$3197.77,-$52.58,-1.62%,-$437.78,-12.05%,1.63%,$3635.55,$242.37,Cash
Z49970450,Corporation,PFE,PFIZER INC,95,$27.465,+$0.035,$2609.17,+$3.32,+0.12%,-$708.58,-21.36%,1.33%,$3317.75,$34.92,Cash

"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Neither FBS nor NFS offer crypto as a direct investment nor provide trading or custody services for such assets."


"Date downloaded 03/26/2024 1:15 PM ET"
